category,description,lang,rating_avg,title,has_rating,description_len
History Of The Americas,"Two hundred million years ago the earth consisted of a single vast continent, Pangea, surrounded by a great planetary sea. Continental drift tore apart Pangaea, and for millennia the hemispheres were separate, evolving almost entirely different suites of plants and animals. Columbus's arrival in the Americas brought together these long-separate worlds. Many historians believe that this collision of ecosystems and cultures - the Columbian Exchange - was the most consequential event in human history since the Neolithic Revolution. And it was the most consequential event in biological history since the extinction of the dinosaurs.",en,4.08,"1493 : How Europe's Discovery of the Americas Revolutionized Trade, Ecology and Life on Earth",True,635
Children's Fiction,The Ultimate Teenage Success Guide,en,4.06,The 7 Habits of Highly Effective Teens : Live Presentation,True,34
Reference Works,"From electromagnetic waves that enable us to connect in an instant to the gravity that keeps our feet firmly on the ground, this book is the fastest way to get up to speed with rocket science--and the rest. In a world where physics is an everyday essential and new quantum developments make headline news, you need to know your atoms from your antimatter, learn just enough to speak with fluidity about Fluid Dynamics and be certain about the Uncertainty Principle. Each idea, no matter how complex, is explained in just two pages, 300 words, and one picture, making this the quickest way to understand gravity, light, energy and more. This is 50 key concepts and complexities, each explained without the jargon. The bestselling 30-Second series offers a new approach to learning about those subjects you feel you should really understand. Every title takes a popular topic and dissects it into the 50 most significant ideas at its heart,explained in just two pages that are easily digested in only half a minute.",en,4.03,"30-Second Physics : The 50 most fundamental concepts in physics, each explained in half a minute",True,1013
Poetry By Individual Poets,"Here is a colorful variety pf works by seven Greek poets and philosophers who lived from the eighth to the third centuries BC. Salvaged from shattered pottery vases and tattered scrolls of papyrus, everything decipherable from the remains of these ancient authors is assembled here. From early to later, the collection contains: Archilochos; Sappho; Alkman; Anakreon; the philosophers Herakleitos and Diogenes; and Herondas. This composite of fragments translated by Guy Davenport is the most complete collection of its kind ever to appear in one volume.",en,4.47,7 Greeks,True,554
"Astronomy, Space & Time",110 times wider than Earth; 15 million degrees at its core; an atmosphere so huge that Earth is actually within it: come and meet the star of our solar system,en,4.18,15 Million Degrees : A Journey to the Centre of the Sun,True,158
Children's Fiction,"Sometimes the night of your dreams can be a total nightmare.The prom. It's supposed to be one of the best nights of your life. Or, at least, you're supposed to have a good time. But what if you'd rather be going with your best friend's date than your own? What if a sinister underground society of students has spiked the punch? What if your date turns out to be more of a frog than a prince? Or what if he's (literally) an ape?There are ways you can fight it. You can protest the silliness of the regular prom by hosting a backwards prom - also known as a morp. You can throw a prom for fat girls. You can stay at home to watch old teen movies and get your cute neighbor and his cuter brother to join you. You can dance to your own music.Here, 21 of the funniest, most imaginative writers today create their own kind of prom stories. Some are triumphs. Some are disasters. But each one is a night you'll never forget.",en,3.27,21 Proms,True,918
European History,"This is the first study of ancient theatre and performance around the coasts of the Black Sea. It brings together key specialists around the region with well-established international scholars on theatre and the Black Sea, from a wide range of disciplines, especially archaeology, drama and history. In that way the wealth of material found around these great coasts is brought together with the best methodology in all fields of study. This landmark book broadens the whole concept and range of theatre outside Athens. It shows ways in which the colonial world of the Black Sea may be compared importantly with Southern Italy and Sicily in terms of theatre and performance. At the same time, it shows too how the Black Sea world itself can be better understood through a focus on the development of theatre and performance there, both among Greeks and among their local neighbours.",en,,Ancient Theatre and Performance Culture Around the Black Sea,False,882
European History,"The Pig, or Václav Havel's Hunt for a Pig was Havel's final theater piece, a shaggy-dog tale set at a pig roast and filled with music. Vladimír Morávek took an old dialogue of Havel's, combined it with Smetana's The Bartered Bride, and the resulting collage comments both on Communist Czechoslovakia and the post-Communist Czech era. Also included is Havel's first ever one-act: Ela, Hela, and the Hitch. These plays, translated by Edward Einhorn, have never before been published in English translation. Part of the Havel Collection, a series of new translations of the work of Václav Havel, from Theater 61 Press.",en,4.11,"The Pig, or Vaclav Havel's Hunt for a Pig (Havel Collection)",True,615
European History,"A wide-ranging collection of reflective essays, to mark the centenary of the conflict that changed the world.",en,3.78,1914-Goodbye to All That : Writers on the Conflict Between Life and Art,True,109
Children's Fiction,"Come along for four undersea adventures with the first four Mermaid Tales books--now available together in one mer-velous paper over board edition! In Trouble at Trident Academy, mergirl Shelly Siren worries and wonders if she can fit in at her new school. In Battle of the Best Friends, Shelly and her best friend, Echo Reef, let mean girl Pearl Swamp's birthday party almost ruin their friendship. In A Whale of a Tale, Kiki Coral has to overcome her giant-size fear of a baby whale. And in Danger in the Deep Blue Sea,  Pearl Swamp causes big trouble when a shark is spotted in the waters near Trident City.",en,5.0,Mermaid Tales 4-Books-In-1! : Trouble at Trident Academy; Battle of the Best Friends; A Whale of a Tale; Danger in the Deep Blue Sea,True,610
European History,"Premierowe wydanie znakomitych felietonów popularnego satyryka, poety, piosenkarza i kompozytora, autora cyklu „Listy do pana hrabiego” oraz komentatora „Szkła kontaktowego” emitowanego na antenie TVN24.",pl,4.0,Prosto z ambony,True,203
Children's Fiction,90 Miles to Havana is a 2011 Pura Belpré Honor Book for Narrative and a 2011 Bank Street Best Children's Book of the Year.,en,3.86,90 Miles to Havana,True,122
Children's Fiction,"When his grandfather dies, Devin goes to the city. There, he finds children, just like him, living on the streets. An act of kindness earns Devin an invitation to a home for abandoned children, but it's soon clear that it's no paradise. A zombie-like sickness that afflicts some children, and soon Devin discovers the home's horrific true mission.",en,3.73,The One Safe Place,True,347
Children's Fiction,"Perfect for fans of John Green's Turtles All the Way Down and Nina LaCour's We Are Okay,  this is the poignant and uplifting story of Maeve, who is dealing with anxiety while falling in love with a girl who is not afraid of anything.",en,3.57,10 Things I Can See from Here,True,233
European History,"Chciałbym powiedzieć czytelnikowi, co następuje: Przyjacielu, jeśli nie lubisz innych poglądów historycznych niż te, do których się przyzwyczaiłeś, proszę Cię, nie czytaj moich książek!",pl,4.31,Europa in flagranti,True,185
Children's Fiction,The Ultimate Teenage Success Guide,en,4.06,The 7 Habits of Highly Effective Teens,True,34
Reference Works,"Fizjoterapia psów i kotów to praktyczny podręcznik przedstawiający metody i sposoby rehabilitacji zwierząt w przypadkach chorób neurologicznych i ortopedycznych. Treść książki wzbogacono prawie 400 zdjęciami, ilustrującymi poszczególne etapy terapii i rodzaje ćwiczeń. Całość uzupełnia płyta z filmami szkoleniowymi.",en,,Fizjoterapia psow i kotow,False,316
European History,"Un combativo, riguroso y muy personal recorrido por el underground español.",es,3.63,Como acabar con la contracultura,True,75
European History,"A captivating literary and historical record, Jean Giono's Occupation Journal offers a glimpse into life in collaborationist France during the Second World War, as seen through the eyes and thoughts of one of France's greatest and most independent writers. Written during the years of France's occupation by the Nazis, Jean Giono's Occupation Journal reveals the inner workings of one of France's great literary minds during one of the country's darkest hours. A renowned writer and committed pacifist throughout the 1930s--a conviction that resulted in his imprisonment before and after the Occupation--Giono spent the war in the village of Contadour in Provence, where he wrote, corresponded with other writers, and cared for his consumptive daughter. This journal records his musings on art and literature, his observations of life, his interactions with the machinery of the collaborationist Vichy regime, as well as his forceful political convictions. Giono recounts the details of his life with fierce independence of thought and novelistic attention to character and dialogue. Occupation Journal is a fascinating historical document as well as a unique window into one of French literature's most voracious and critical minds.",en,3.5,Occupation Journal,True,1233
Contemporary Fiction,"""Richardson's Clarissa explores the subtleties of the human heart as its gold-standard heroine falls for one of the most charming villains in literature. This fiction is a towering monument of approximately 970,000 words, Clarissa, the longest novel in the English canon. Samuel Richardson's The History of a Young Lady remains an extraordinary achievement."" The Guardian",en,,"Clarissa Harlowe : Or, The History of a Young Lady; Volume 1 of 9",False,371
Contemporary Fiction,World's Classics Deluxe Edition,en,3.49,Nightmare Abbey,True,31
Contemporary Fiction,World's Classics Deluxe Edition,en,,The Mayor of Casterbridge : The Life and Death of a Man of Character,False,31
Reference Works,"A4 road atlas with popular lie-flat spiral binding features clear, detailed road mapping, at a scale of 3.2 miles to 1 inch (1:200,000) for England, Wales and Southern Scotland and at 4.2 miles to 1 inch (1:266,000) in Northern Scotland, with land height shown by attractive layer colouring.",en,4.09,2017 Collins Essential Road Atlas Britain,True,291
Children's Fiction,A troubled girl confronts her personal demons in this time-travel thriller alternating between present day and 19th century Japan.,en,3.23,A Darkly Beating Heart,True,130
Contemporary Fiction,"Elisabeth Matrei, fotógrafa de renombre y prototipo de mujer independiente y cosmopolita, regresa, como cada verano, a la casa de su padre en un barrio de clase media de una ciudad austriaca de provincias. Allí el tiempo parece haberse detenido hace décadas en una existencia gris y melancólica, pero el cercano bosque con el lago, ese paisaje de la infancia, en apariencia intacto, ofrece a la protagonista un refugio donde recuperarse de las tensiones cotidianas.",es,3.89,Tres senderos hacia el lago / Three Paths to the Lake,True,465
Children's Fiction,"En Milton High todos los chicos tienen algo en común, por muy diferentes que sean entre ellos. Empollones, deportistas, raperos, frikis y los que pasan desapercibidos... Ese algo en común tiene curvas y toda una historia detrás de su melancólica sonrisa: Mercedes Ayres.Con un nombre extranjero y una familia que la tiene completamente olvidada (no conoció a su padre y su madre nunca habla con ella), Mercedes ha decidido ayudar a todas las chicas del instituto en su camino hacia la pérdida de la virginidad  y evitar así que tengan una primera vez patética. ¿Cómo? Convirtiéndose ella misma en la «la primera vez» de todos esos chicos que están a punto de hacerlo con sus novias. Evan, Tobby, Jeremy... Mercedes parece obsesionada con la idea de que toda chica tiene que tener una primera vez perfecta y sin «riesgos».",es,3.59,Soy Tu Primera Vez,True,821
Contemporary Fiction,World's Classics Deluxe Edition,en,,Justified Sinner : The Private Memoirs and Confessions of a Justified Sinner,False,31
Children's Fiction,"Kasie West meets Morgan Matson in this hilarious and heartwarming debut about a girl's summer mission to get over her ex-boyfriend by kissing her way through the alphabet. Getting dumped by her boyfriend is not how Veda planned on starting her summer. When Mark makes it clear that it's over between them, Veda is heartbroken and humiliated--but, more importantly, she's inspired. So she sets out on the love quest of a lifetime: use the summer to forget about Mark, to move on, and move up. All she has to do is kiss twenty-six boys with twenty-six different names--one for each letter of the alphabet. From the top of the Ferris wheel at her hometown carnival to the sandy dunes of Lake Michigan, Veda takes every opportunity she can to add kisses (and boys) to her list, and soon the break-up doesn't sting quite as much. But just when Veda thinks she has the whole kissing thing figured out, she meets someone who turns her world upside down.",en,3.48,26 Kisses,True,946
Children's Fiction,"Deanne doesn't want to spend her summer on silly debutante activities, like hanging out at the country club and flirting with the rich boys. She'd rather spend time with the kids in the cancer wing at the local hospital. Will Deanne's compassion lead her to love--and heartbreak?",en,3.97,If I Should Die Before I Wake,True,279
Children's Fiction,"On a hot summer night in a midwestern town, a high school teenage prank goes horrifically awry. Alcohol, guns, and a dare. Within minutes, as events collide, innocents becomes victims--with tragic outcomes altering lives forever, a grisly and unfortunate scenario all too familiar from current real-life headlines. But victims can also become survivors, and as we come to know each character through his/her own distinctive voice and their interactions with one another, we see how, despite pain and guilt, they can reach out to one another, find a new equilibrium, and survive.",en,3.97,Ghosting,True,578
Poetry By Individual Poets,"This is the first rigorous scholarly edition of a substantial selection of the work of Algernon Charles Swinburne (1837-1909) ever produced. Swinburne was one of the most brilliant and controversial poets of the nineteenth century: a republican; a scorner of established Christianity; a writer of sexual daring; a poet of loss and of love. Yet he is also the most misunderstood poet of the Victorian period. This new edition, with substantial editorial material, presents",en,,Algernon Charles Swinburne : 21st-Century Oxford Authors,False,471
Children's Fiction,The Ski Trip Is the Least of Their Worries,en,4.29,Raising Faith,True,42
Children's Fiction,"Raphael is a dumpsite boy. He spends his days wading through mountains of steaming trash, sifting it, sorting it, breathing it, sleeping next to it. Then one unlucky-lucky day, Raphael's world turns upside down. A small leather bag falls into his hands. It's a bag of clues. It's a bag of hope. It's a bag that will change everything. Soon Raphael and his friends Gardo and Rat are running for their lives. Wanted by the police, it takes all their quick-thinking and fast-talking to stay ahead. As the net tightens, they uncover a dead man's mission to put right a terrible wrong. And now it's three street boys against the world...",en,3.66,Trash,True,632
European History,"Michnikowszczyzna to nie tylko zespół głoszonych przez Michnika tez i postulowanych przez niego zachowań. To grono ludzi, współtworzących jego propagandową linię w `Wyborczej` i innych poddających się jej wpływom mediach. To przede wszystkim liczne grono adresatów tej propagandy, związanych z Michnikiem emocjonalnie w stopniu nie mniejszym, niż wykpiwane na salonach moherowe babcie przepojone są podziwem dla księdza Rydzyka. To rzesza polskich inteligentów i jeszcze liczniejsza - półinteligentów, którzy ulegli graniczącemu z amokiem uwielbieniu dla redaktora naczelnego `Wyborczej` jako wyroczni etycznej, politycznej i intelektualnej.",pl,,Michnikowszczyzna,False,641
Children's Fiction,"""Castillo's quiet ink-and-watercolor spreads make it clear that Sierra's situation is different from that of the other girls. . . . A thought-provoking read-aloud."" -- Publishers Weekly Nada hace tan feliz a sierra como el fútbol. Sobre todo, cuando sus zapatillas con llamas hacen que el balón ruede por el inmenso mar de grama limpia. Pero, al mismo tiempo, nada la pone tan triste como el fútbol porque su tía no puede sacar tiempo libre del trabajo para ir a los partidos. Sierra quisiera que alguien que la conozca pudiese ir a gritar su nombre cuando ella juega, y no solo gritar el número de su uniforme. Una historia tierna de cómo una niña encuentra la mejor forma de unir las dos cosas que la hacen más feliz -- el fútbol y su familia. Nothing makes Sierra happy like soccer. But nothing makes her sad like soccer, either, because the restaurant where her auntie works is busy on game days, so she can't watch Sierra play. With honesty and subtlety, author Maribeth Boelts and illustrator Lauren Castillo portray an endearing character in a moving, uplifting story that touches on the divides children navigate every day--and reminds us that everyone needs someone to cheer them on from the sidelines. Now available in a Spanish edition!",es,3.98,El Futbol Me Hace Feliz,True,1247
Children's Fiction,"Discover the Newbery Honor winner ""Doll Bones,"" from Holly Black, the cocreator of the Spiderwick Chronicles. A ""Kirkus Reviews ""Best Book. A ""School Library Journal ""Best Book. A ""Booklist ""Editor's Choice Books for Youth. A ""Publishers Weekly"" Best Children's Book. A NYPL ""100 Titles for Reading and Sharing."" A ""People Magazine"" ""Best New Kids Book."" Six starred reviews!",en,3.68,Doll Bones,True,375
European History,"Musimy sobie przypomnieć czym jest Wolność, pokochać ją od nowa, zacząć jej pożądać, zacząć o nią walczyć.",pl,,Odzyskac wolnosc dla Polski i Polakow,False,106
Poetry By Individual Poets,"Composed as he lost his eyesight, W.S. Merwin's final and exquisite book brims with longing, loss, and unanswerable questions. In Garden Time, Merwin's luminous, ethereal voice gently interrogates mortality; at the very end of his life, he sings lovingly to a tireless world--although not without trepidation. When he could no longer see well enough to write, he dictated his poems to his wife, Paula. The result is a book contemplative and delicate, tender and melancholy. In this gorgeous, mindful, and life-affirming book, our greatest poet channels energy from his memories and deep connection to the world so as to remind us that ""The only hope is to be the daylight.""",en,,Garden Time,False,673
"Astronomy, Space & Time","This book gathers selected and expanded contributions presented at the 5th Symposium on Space Optical Instruments and Applications, which was held in Beijing, China, on September 5-7, 2018. This conference series is organized by the Sino-Holland Space Optical Instruments Laboratory, a cooperative platform between China and the Netherlands.",en,,"5th International Symposium of Space Optical Instruments and Applications : Beijing, China, September 5-7, 2018",False,341
European History,"Mit Polski Niewinnej jest powielany od dziesięcioleci, wyrastają na nim kolejne pokolenia Polaków. Jan Tomasz Gross dotknął swoimi książkami zaledwie czubka góry – za co mu chwała. Z kolei prace zawodowych badaczy Zagłady, które obnażają polskie w niej wspólnictwo, nie są niestety znane szerszej publiczności. Szkoda, bo wywracają do góry nogami społeczną historię Polski – II RP, okupacji, PRL aż do dziś. W tym kontekście pojawia się książka Stefana Zgliczyńskiego, nie obciążona balastem prac naukowych, zaadresowana szczęśliwie – podobnie jak dzieła Grossa – do szerokiej publiki. Oby ta publika zdołała kiedyś przyjąć do wiadomości, że Polacy masowo donosili na żydowskich sąsiadów (tak, tak, to nie były pojedyncze zatrute jabłka), szantażowali, wymuszali haracze, mordowali. Cierpimy na niedostatek wiedzy i refleksji nad tym, co Polska i Polacy wyrządzili Żydom czy Polakom żydowskiego pochodzenia (odwieczny kłopot z definicją). Nie dlatego, że wiedza ta jest niedostępna, lecz dlatego że większość się przed nią broni. Może książki takie, jak mocna i poruszająca praca Zgliczyńskiego przyczynią się kiedyś w końcu do głębokiej zmiany? A może nie? Możliwe, że mit Polski Niewinnej jest nie do wykorzenienia. Ale próbować trzeba – i ta książka jest taką właśnie ważną, odważną i ambitną próbą - Artur Domosławski",pl,4.05,Jak Polacy Niemcom Zydow mordowac pomagali,True,1321
Children's Fiction,"Gabe's happily headed back to Nerd Camp--but can he handle a cool-kid invasion? For Gabe, the equation for ideal summer bliss equals six glorious weeks of vigorous learning immersion at the Summer Center for Gifted Enrichment--aka, Nerd Camp. Last year was amazing, and this summer will be even better. At least, that's what Gabe thinks until a new variable is introduced: Zack, Gabe's cool stepbrother, was supposed to attend a camp nearby, but in the aftermath of a recent wildfire, Zack's camp and nerd camp will be sharing territory. As these two very different worlds collide, will both camps--and both stepbrothers--survive the summer?",en,4.17,Nerd Camp 2.0,True,641
Children's Fiction,"A powerful story exploring the interconnectedness of all things from New York Times betselling author of the Merlin saga. When thirteen-year-old Kate travels to Oregon for a quiet week at Aunt Melanie's cottage, her plans are dashed by the discovery of a grove of giant redwood trees in nearby Lost Crater. While helping try to protect the redwood forest from loggers, Kate goes back five centuries through a time tunnel and finds herself facing the evil creature Gashra, who is bent on destroying the same forest. In this extraordinary quest from The Adventures of Kate series, a girl discovers that all living things are connected in ways she never expected, and that true friendship can reach across cultures, and even across centuries. ""Once in a great while a book comes along that is so powerful and so wise that you want to shout about it."" --Madeleine L'Engle, bestselling author of A Wrinkle in Time, on The Ancient One",en,4.07,The Ancient One,True,928
Children's Fiction,"Ursula K. Le Guin selected Crazy Weather for her contribution to Pharos Editions citing Charles McNichols ""offhanded skill, the ease with which (he) takes us deep into a complex society and the complex minds and hearts of its people."" In four days of ""glory-hunting"" with an Indian comrade, South Boy, who is white, realizes he must choose between two cultures. Le Guin explains how she finds Crazy Weather to be ""about a soul not at home and not at peace: South Boy, who on the verge of manhood is living in and between two worlds, without a clear way to go in either."" Crazy Weather is a unique tale of American identity that serves as ""an important document in our cultural history.""",en,4.11,Crazy Weather,True,686
Children's Fiction,"The heart-stopping conclusion to the New York Times bestselling Shatter Me series, which Ransom Riggs, author of Miss Peregrine's Home for Peculiar Children and Hollow City, called ""a thrilling, high-stakes saga of self-discovery and forbidden love.""",en,4.41,Ignite Me,True,250
Children's Fiction,"Regan Flay has been talking about you. Regan Flay is on the cusp of achieving her control-freak mother's ""plan"" for high school success?cheerleading, student council, the Honor Society―until her life gets turned horribly, horribly upside down. Every bitchy text. Every bitchy email. Every lie, manipulation, and insult she's ever said have been printed out and taped to all the lockers in school. Now Regan has gone from popular princess to total pariah. The only person who even speaks to her is her former best friend's hot but socially miscreant brother, Nolan Letner. Nolan thinks he knows what Regan's going through, but what nobody knows is that Regan isn't really Little Miss Perfect. In fact, she's barely holding it together under her mom's pressure. But the consequences of Regan's fall from grace are only just beginning. Once the chain reaction starts, no one will remain untouched... Especially Regan Flay.",en,3.88,Life Unaware,True,919
European History,"In this last volume of his four-volume set of memoirs, the famous Russian spacecraft designer Boris Chertok, who worked under the legendary Sergey Korolev, continues his fascinating narrative on the history of the Soviet space program, this time covering 1968 to 1974, the peak years of the Soviet human lunar program.",en,4.48,Rockets and People Volume IV : The Moon Race,True,318
Children's Fiction,"In the seventh volume of the ""Submarine Outlaw"" series, Alfred takes his homemade submarine into the Southern Ocean to thwart the actions of the Japanese whalers. In Australia, he is mistakenly accused of sabotaging an oil tanker, forcing him to escape to Tasmania. There he meets up with Merwin Hughes, an eccentric environmentalist, and together they travel south. They are followed along the way by a friendly blue whale and her calf, and a bond is established. Soon after, they encounter a tanker on its way to illegally refuel the whalers' ships. When Captain Paul Watson arrives aboard the Sea Shepherd Society's flagship, the Steve Irwin, to stop the whalers, Al must first try to save the mother and calf even as he helps Watson fight off the whalers. Al learns that the war to save the planet is being waged by dedicated individuals, each contributing in his or her own way, and that every action, large or small, matters greatly.",en,4.1,Eco Warrior : Philip Roy,True,939
Children's Fiction,"In this captivating novel, wife and mother of three Bernadette McBride makes a wish she never expects to have granted--to be young again. When she awakens--transformed into a twelveyear- old--on what should be the morning of her fortieth birthday, she is at first jubilant, and then quickly realizes how complex life has suddenly become. She enrolls in her son's seventh-grade computer class in hopes of enlisting his help, but it's not that easy. . . . Patrick, Bernadette's oldest son, has no idea what happened to his mother, but he refuses to give up hope. Unless he can get her back, he faces a life of waiting on his brothers. Can Patrick do the impossible? Can he rescue his mother . . . and return his family's life to normal?",en,3.7,12 Again,True,734
Children's Fiction,The third book in the hilariously scary Nightmares! series by New York Times bestselling authors Jason Segel and Kirsten Miller is here! You thought the nightmares were over? You better keep the lights on!,en,4.26,Nightmares! the Lost Lullaby,True,205
Children's Fiction,"Kaycee Jean McCoy has lived her entire life in Sunshine, Tennessee. Sweet tea flows through her veins and ""yes ma'am"" is ingrained in her DNA. In Sunshine, going to church is basically mandatory, and gay had better be your mood and not your sexual orientation. Kaycee may not agree with the town's socially accepted bigotry, but she'd rather fit in--even if it means letting gross Dave Bradford kiss her on occasion--than make waves. That is, until the beautiful, sexy, impossibly cool Bren Dawson moves into town. Kaycee is swept up in a whirlwind of exciting new emotions and lets her guard down. One night under a fat country moon, Kaycee's best friend catches them kissing, and Kaycee's whole world goes to hell in a handbasket. What is she willing to risk for the sake of love? And what will she risk for acceptance?",en,3.62,South Of Sunshine,True,821
Children's Fiction,"Kyle Henry has a new name, a new school, and a new life,one without the shadow of the Bonebreaker hanging over him. It's been a year since his serial killer father's execution, and it finally looks like things are turning around for Kyle. Until he recognizes the girl sitting in the back row in homeroom. Naomi Steadman is immediately intrigued by Killdeer Academy's newcomer. She does not know he is the son of the man who murdered her mother. What she does know is she and Kyle have a connection with each other,and a spark that Kyle continues to back away from. Soon after Kyle's arrival, the death count on campus starts to rise. Someone is set on finishing what the Bonebreaker started, and murdering ghosts from the past may be the only thing that can stop the spree. Told in alternating viewpoints, Kat Ellis's tale of mystery and horror is full of broken bonds and new beginnings.",en,3.63,Breaker,True,888
Children's Fiction,"Willie and his friends are facing some difficult times.   Bernard is being pressured to fight others. Derf is dealing with a tough home life, and making questionable choices. And Chelsey keeps lying to cover up for others. Put it all together and you can see that Peer Pressure is affecting the group in a negative way.   Fortunately, counselor Mr. J is here to help Willie and his friends learn the importance of setting boundaries and saying no when it counts! The graphic novel style will speak to 3rd-8th grade students as they learn the power of resisting peer pressure.",en,,The Power of a Positive No : Willie Bohanon and Friends Learn the Power of Resisting Peer Pressure,False,579
History Of The Americas,"Egzotykę spotyka się również w Polsce, dlatego w najnowszym zbiorze impresji Stanisław Michalkiewicz umieścił obok wspomnień z Ameryki i Azji także elementy egzotyki krajowej; zrobił to w przekonaniu, że nie tylko dorównuje ona zagranicznej, ale w porywach nawet ją przewyższa.",pl,3.2,Ameryka i egzotyka,True,277
Children's Fiction,"What happens when teasing goes too far? This classic middle grade novel from Judy Blume addresses the timeless topic of bullying and has a fresh new look. ""Blubber is a good name for her,"" the note from Caroline said about Linda. Jill crumpled it up and left it on the corner of her school desk. She didn't want to think about Linda or her dumb report on whales just then. Jill wanted to think about Halloween. But Robby grabbed the note and before Linda stopped talking it had gone halfway around the room. There was something about Linda that made a lot of kids in her fifth-grade class want to see how far they could go...but nobody, Jill least of all, expected the fun to end where it did.",en,3.79,Blubber,True,693
Children's Fiction,"Experts refer to psychological bullying as relational aggression. In other words, the bully sets out to damage the victims relationships with others by affecting how peers view that person. Psychological bullying affects how the victim feels about himself or herself, as well. Readers learn that psychological bullying goes far beyond a one-time snub in the cafeteria or a single dirty look in the hallway. It is a relentless attack that leaves the victims crushed and confused. It can lead to lifelong problems for all involved: the victims, the bullies, and even those who are bystanders to these attacks. Readers examine how it feels to be psychologically bullied and why certain teens are more likely to be targets than others. The text analyzes why teens bully, as well as what victims can do when a bully singles them out for abuse. Additionally, the text discusses what is being done on the local and national level to combat psychological bullying. Although this type of bullying is a complex problem, there are positive steps to take that can make a world of difference to an individual or community.",en,4.0,How to Beat Psychological Bullying,True,1110
Children's Fiction,This delightful set of books is designed to teach children about emotions.,en,4.26,Playdate Pals Alligator Is Angry,True,74
History Of The Americas,"THE AMERICAN PAGEANT enjoys a reputation as one of the most popular, effective, and entertaining texts in American history. The colorful anecdotes, first-person quotations, and trademark wit bring American history to life. The Fifteenth edition includes markedly deeper explorations of the cultural innovations, artistic movements, and intellectual doctrines that have engaged and inspired Americans and shaped the course of American history. Additional features of THE AMERICAN PAGEANT help readers understand and master the content: part openers and chapter-ending chronologies provide a context for the major periods in American history, while other features present primary sources, scholarly debates, and key historical figures for analysis.",en,3.0,"The American Pageant, Volume 2",True,746
